id,name,onsets,durations,amplitudes,info,subject,session
1,Experimental-Baseline,169,30,1,,1,1
12,Trial-Baseline,249,30,1,,1,1
32,LWBE-A-Baseline,249,30,1,,1,1
23,Trial-Procedure,278,48,1,,1,1
33,LWBE-A-Procedure,278,48,1,,1,1
2,LWBE-A-Recovery,327,30,1,,1,1
3,LWBE-B-Baseline,327,30,1,,1,1
12,Trial-Baseline,327,30,1,,1,1
28,Trial-Recovery,327,30,1,,1,1
4,LWBE-B-Procedure,357,146,1,,1,1
23,Trial-Procedure,357,146,1,,1,1
5,LWBE-B-Recovery,503,30,1,,1,1
6,LWBE-C-Baseline,503,30,1,,1,1
12,Trial-Baseline,503,30,1,,1,1
28,Trial-Recovery,503,30,1,,1,1
7,LWBE-C-Procedure,533,155,1,,1,1
23,Trial-Procedure,533,155,1,,1,1
8,LWBE-C-Recovery,688,30,1,,1,1
28,Trial-Recovery,688,30,1,,1,1
22,SurgTLX,718,262,1,,1,1
25,SurgTLX-LWBE,718,262,1,,1,1
12,Trial-Baseline,980,30,1,,1,1
13,HWBE-A-Baseline,980,30,1,,1,1
14,HWBE-A-Procedure,1010,80,1,,1,1
23,Trial-Procedure,1010,80,1,,1,1
12,Trial-Baseline,1090,30,1,,1,1
15,HWBE-A-Recovery,1090,30,1,,1,1
16,HWBE-B-Baseline,1090,30,1,,1,1
28,Trial-Recovery,1090,30,1,,1,1
17,HWBE-B-Procedure,1120,215,1,,1,1
23,Trial-Procedure,1120,215,1,,1,1
12,Trial-Baseline,1335,30,1,,1,1
18,HWBE-B-Recovery,1335,30,1,,1,1
19,HWBE-C-Baseline,1335,30,1,,1,1
28,Trial-Recovery,1335,30,1,,1,1
20,HWBE-C-Procedure,1365,85,1,,1,1
23,Trial-Procedure,1365,85,1,,1,1
21,HWBE-C-Recovery,1451,30,1,,1,1
28,Trial-Recovery,1451,30,1,,1,1
22,SurgTLX,1481,180,1,,1,1
27,SurgTLX-HWBE,1481,180,1,,1,1
12,Trial-Baseline,1661,30,1,,1,1
29,LWCE-Baseline,1661,30,1,,1,1
23,Trial-Procedure,1691,170,1,,1,1
30,LWCE-Procedure,1691,170,1,,1,1
28,Trial-Recovery,1861,30,1,,1,1
31,LWCE-Recovery,1861,30,1,,1,1
22,SurgTLX,1891,164,1,,1,1
24,SurgTLX-LWCE,1891,164,1,,1,1
9,HWCE-Baseline,2054,30,1,,1,1
12,Trial-Baseline,2054,30,1,,1,1
10,HWCE-Procedure,2084,238,1,,1,1
23,Trial-Procedure,2084,238,1,,1,1
11,HWCE-Recovery,2322,30,1,,1,1
28,Trial-Recovery,2322,30,1,,1,1
22,SurgTLX,2352,12,1,,1,1
26,SurgTLX-HWCE,2352,12,1,,1,1
